Nord,Electro 5,Mode,Preset/Manual Select,Toggles between preset and manual mode,3,,0,127,,,,,0-based,,0-63: Manual; 64-127: Preset
Nord,Electro 5,Master,Gain,Controls the overall output gain level,7,,0,127,,,,,0-based,,0-127: Gain amount
Nord,Electro 5,Organ,Organ Model,Selects the organ model type,9,,0,127,,,,,0-based,,Values select different organ models
Nord,Electro 5,Expression,Control Pedal,Controls parameters via expression pedal,11,,0,127,,,,,0-based,,0-127: Pedal position
Nord,Electro 5,Piano,Piano Type,Selects the piano type,12,,0,127,,,,,0-based,,Values select different piano types
Nord,Electro 5,Sample,Sample Synth Attack,Controls the attack time of the sample synth,33,,0,127,,,,,0-based,,0-127: Attack time
Nord,Electro 5,Sample,Sample Synth Release,Controls the release time of the sample synth,34,,0,127,,,,,0-based,,0-127: Release time
Nord,Electro 5,Sample,Sample Synth Sample,Selects the sample for the sample synth,35,,0,127,,,,,0-based,,Values select different samples
Nord,Electro 5,Sample,Sample Synth Dynamics,Controls the dynamic response of the sample synth,36,,0,127,,,,,0-based,,0-127: Dynamics amount
Nord,Electro 5,Sample,Sample Synth Filter Velocity,Controls velocity sensitivity of the filter,37,,0,127,,,,,0-based,,0-127: Velocity sensitivity
Nord,Electro 5,Routing,Part Lower Sound Engine Select,Selects the sound engine for the lower part,39,,0,127,,,,,0-based,,Values select different engines
Nord,Electro 5,Routing,Part Upper Sound Engine Select,Selects the sound engine for the upper part,40,,0,127,,,,,0-based,,Values select different engines
Nord,Electro 5,Routing,Part Lower Enable,Enables/disables the lower part,41,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Routing,Part Upper Enable,Enables/disables the upper part,42,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Piano,Piano Model,Selects the piano model,44,,0,127,,,,,0-based,,Values select different piano models
Nord,Electro 5,Piano,Piano Variation,Selects the piano variation,45,,0,127,,,,,0-based,,Values select different variations
Nord,Electro 5,Piano,Piano KBD Touch,Controls keyboard touch response for piano,46,,0,127,,,,,0-based,,0-127: Touch sensitivity
Nord,Electro 5,System,Program/Set List/Live mode toggle,Toggles between program, set list, and live modes,48,,0,127,,,,,0-based,,Values select different modes
Nord,Electro 5,System,Set List Slot Select,Selects the set list slot,49,,0,127,,,,,0-based,,0-127: Slot number
Nord,Electro 5,Keyboard,KB Split Mode,Selects the keyboard split mode,50,,0,127,,,,,0-based,,Values select different split modes
Nord,Electro 5,Keyboard,KB Split Point,Sets the keyboard split point,51,,0,127,,,,,0-based,,0-127: Split point position
Nord,Electro 5,Transpose,Transpose Enable,Enables/disables transpose function,52,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Transpose,Transpose Value,Sets the transpose value in semitones,53,,0,127,,,,,0-based,,Values represent semitone shift
Nord,Electro 5,Octave,Octave Shift Part Lower,Shifts the octave of the lower part,54,,0,127,,,,,0-based,,Values represent octave shift
Nord,Electro 5,Octave,Octave Shift Part Upper,Shifts the octave of the upper part,55,,0,127,,,,,0-based,,Values represent octave shift
Nord,Electro 5,Sustain,Sustain Pedal Enable Part Lower,Enables/disables sustain pedal for lower part,56,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Sustain,Sustain Pedal Enable Part Upper,Enables/disables sustain pedal for upper part,57,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Control,Ctrl Pedal Enable Part Lower,Enables/disables control pedal for lower part,58,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Control,Ctrl Pedal Enable Part Upper,Enables/disables control pedal for upper part,59,,0,127,,,,,0-based,,0-63: Disabled; 64-127: Enabled
Nord,Electro 5,Effects,Effect 1 Type,Selects the type for effect 1,60,,0,127,,,,,0-based,,Values select different effect types
Nord,Electro 5,Effects,Effect 2 Type,Selects the type for effect 2,61,,0,127,,,,,0-based,,Values select different effect types
Nord,Electro 5,Effects,Effect 2 Rate,Controls the rate for effect 2,62,,0,127,,,,,0-based,,0-127: Rate amount
