manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Behringer,RD-9,Default note map,Bass Drum,,basic,36,36,36,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Rim Shot,,basic,37,37,37,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Snare Drum,,basic,38,38,38,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Clap,,basic,39,39,39,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Closed Hat,,basic,42,42,42,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Low Tom,,basic,45,45,45,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Open Hat,,basic,46,46,46,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Mid Tom,,basic,47,47,47,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Crash,,basic,49,49,49,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Hi Tom,,basic,50,50,50,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
Behringer,RD-9,Default note map,Ride,,basic,51,51,51,The MAP page can reassign this voice to any note 0-127; the map is global and the same for all songs and patterns,
