Dreadbox,Medusa,Oscillators,OSC1 Tuning,Controls fine tuning of oscillator 1,7,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC1 U tuning,Controls micro tuning of oscillator 1,8,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC1 Wave,Selects waveform for oscillator 1,9,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC1 Octave,Sets octave for oscillator 1,10,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC2 Tuning,Controls fine tuning of oscillator 2,11,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC2 U Tuning,Controls micro tuning of oscillator 2,12,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC2 Wave,Selects waveform for oscillator 2,13,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC2 Octave,Sets octave for oscillator 2,14,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC3 Tuning,Controls fine tuning of oscillator 3,15,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC3 U Tuning,Controls micro tuning of oscillator 3,16,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC3 Wave,Selects waveform for oscillator 3,17,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC3 Octave,Sets octave for oscillator 3,18,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC4 Tuning,Controls fine tuning of oscillator 4,19,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC4 U Tuning,Controls micro tuning of oscillator 4,20,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC4 Wave,Selects waveform for oscillator 4,21,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC4 Octave,Sets octave for oscillator 4,22,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC5 Tuning,Controls fine tuning of oscillator 5,23,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC5 U Tuning,Controls micro tuning of oscillator 5,24,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC5 Wave,Selects waveform for oscillator 5,25,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC5 Octave,Sets octave for oscillator 5,26,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC6 Tuning,Controls fine tuning of oscillator 6,27,,0,127,,,,,0-based,,0-127: Fine tuning
Dreadbox,Medusa,Oscillators,OSC6 U Tuning,Controls micro tuning of oscillator 6,28,,0,127,,,,,0-based,,0-127: Micro tuning
Dreadbox,Medusa,Oscillators,OSC6 Wave,Selects waveform for oscillator 6,29,,0,127,,,,,0-based,,0-127: Wave selection
Dreadbox,Medusa,Oscillators,OSC6 Octave,Sets octave for oscillator 6,30,,0,127,,,,,0-based,,0-127: Octave setting
Dreadbox,Medusa,Oscillators,OSC3 Osc12,Controls oscillator 3 modulation by oscillators 1 and 2,31,,0,127,,,,,0-based,,0-127: Modulation amount
Dreadbox,Medusa,Oscillators,OSC3 Filter,Controls oscillator 3 filter modulation,32,,0,127,,,,,0-based,,0-127: Filter modulation
Dreadbox,Medusa,Oscillators,OSC PW,Controls pulse width for pulse waveforms,33,,0,127,,,,,0-based,,0-127: Pulse width
Dreadbox,Medusa,Oscillators,OSC Noise,Controls noise level in the oscillator section,34,,0,127,,,,,0-based,,0-127: Noise amount
Dreadbox,Medusa,Oscillators,OSC Wavetable,Controls wavetable selection/position,35,,0,127,,,,,0-based,,0-127: Wavetable position
Dreadbox,Medusa,Oscillators,OSC Sync 2,Controls oscillator sync for oscillator 2,36,,0,127,,,,,0-based,,0-127: Sync amount
Dreadbox,Medusa,Oscillators,OSC Sync 3,Controls oscillator sync for oscillator 3,37,,0,127,,,,,0-based,,0-127: Sync amount
Dreadbox,Medusa,Performance,Play Mode,Selects between play modes,38,,0,127,,,,,0-based,,0-127: Play mode selection
Dreadbox,Medusa,Performance,Play Mode Glide,Controls glide/portamento amount in the selected play mode,39,,0,127,,,,,0-based,,0-127: Glide amount
Dreadbox,Medusa,Filter,Filter Cutoff,Controls filter cutoff frequency,40,,0,127,,,,,0-based,,0-127: Cutoff frequency
Dreadbox,Medusa,Filter,Filter Resonance,Controls filter resonance/emphasis,41,,0,127,,,,,0-based,,0-127: Resonance amount
Dreadbox,Medusa,Filter,Filter Type,Selects filter type,42,,0,127,,,,,0-based,,0-127: Filter type selection
Dreadbox,Medusa,Filter,Filter Track,Controls keyboard tracking amount for the filter,43,,0,127,,,,,0-based,,0-127: Keyboard tracking
Dreadbox,Medusa,Mixer,Mixer OSC1 Analog,Controls analog oscillator 1 level in the mixer,44,,0,127,,,,,0-based,,0-127: OSC1 analog level
Dreadbox,Medusa,Mixer,Mixer OSC2 Analog,Controls analog oscillator 2 level in the mixer,45,,0,127,,,,,0-based,,0-127: OSC2 analog level
Dreadbox,Medusa,Mixer,Mixer OSC3 Analog,Controls analog oscillator 3 level in the mixer,46,,0,127,,,,,0-based,,0-127: OSC3 analog level
Dreadbox,Medusa,Mixer,Mixer Noise,Controls noise level in the mixer,47,,0,127,,,,,0-based,,0-127: Noise level
Dreadbox,Medusa,Mixer,Mixer OSC1 Digital,Controls digital oscillator 1 level in the mixer,48,,0,127,,,,,0-based,,0-127: OSC1 digital level
Dreadbox,Medusa,Mixer,Mixer OSC2 Digital,Controls digital oscillator 2 level in the mixer,49,,0,127,,,,,0-based,,0-127: OSC2 digital level
Dreadbox,Medusa,Mixer,Mixer OSC3 Digital,Controls digital oscillator 3 level in the mixer,50,,0,127,,,,,0-based,,0-127: OSC3 digital level
Dreadbox,Medusa,Envelope,ENV1 Delay,Controls delay time before envelope 1 starts,51,,0,127,,,,,0-based,,0-127: Delay time
Dreadbox,Medusa,Envelope,ENV1 Attack,Controls attack time for envelope 1,52,,0,127,,,,,0-based,,0-127: Attack time
Dreadbox,Medusa,Envelope,ENV1 Decay,Controls decay time for envelope 1,53,,0,127,,,,,0-based,,0-127: Decay time
Dreadbox,Medusa,Envelope,ENV1 Sustain,Controls sustain level for envelope 1,54,,0,127,,,,,0-based,,0-127: Sustain level
Dreadbox,Medusa,Envelope,ENV1 Release,Controls release time for envelope 1,55,,0,127,,,,,0-based,,0-127: Release time
Dreadbox,Medusa,Envelope,ENV1 Amount,Controls modulation amount for envelope 1,56,,0,127,,,,,0-based,,0-127: Modulation amount
